velocity,skill,energy_consumption
75,Glue Type A,7.064815042
50,Glue Type A,7.508488109
75,Glue Type A,7.304250412
75,Glue Type C,5.513612981
50,Glue Type A,7.783381529
60,Glue Type A,7.441735592
75,Glue Type C,5.280586172
60,Glue Type A,7.136652744
60,Glue Type A,7.788273605
40,Glue Type A,10.29962073
75,Glue Type A,6.731287352
60,Glue Type A,7.825153408
60,Glue Type C,6.813747258
75,Glue Type C,5.955423359
60,Glue Type C,6.029386409
40,Glue Type A,8.915072075
40,Glue Type A,10.01993408
60,Glue Type C,6.865271601
50,Glue Type A,7.86883819
75,Glue Type C,5.303589
75,Glue Type C,6.41781322
60,Glue Type A,7.173469854
60,Glue Type A,7.436749343
60,Glue Type A,7.420995519
50,Glue Type A,8.077757239
75,Glue Type C,6.790923471
60,Glue Type C,6.74339603
75,Glue Type A,7.228994613
75,Glue Type C,6.218099152
75,Glue Type C,6.049393422
40,Glue Type C,9.122235147
50,Glue Type C,7.528450046
50,Glue Type A,8.005478111
50,Glue Type A,7.779919613
60,Glue Type C,7.100249095
60,Glue Type C,6.243029493
60,Glue Type A,6.846243623
75,Glue Type C,6.334524025
40,Glue Type A,9.404889855
50,Glue Type A,8.239030375
75,Glue Type A,7.075177566
40,Glue Type C,9.716970142
60,Glue Type A,7.222458337
40,Glue Type A,9.915463567
75,Glue Type C,5.769455694
50,Glue Type A,7.485251657
60,Glue Type A,7.845103363
75,Glue Type A,7.548343318
60,Glue Type C,6.039140296
75,Glue Type A,7.552300868
75,Glue Type A,7.252696967
40,Glue Type C,9.671972629
50,Glue Type A,8.598304514
60,Glue Type A,6.932350335
40,Glue Type C,9.327928801
40,Glue Type A,10.28098881
50,Glue Type A,7.771199481
50,Glue Type C,7.701340558
40,Glue Type C,7.676194314
50,Glue Type A,8.01972685
40,Glue Type C,9.530612494
50,Glue Type A,7.700205512
50,Glue Type A,7.89640353
60,Glue Type A,6.483286143
60,Glue Type A,6.951810917
40,Glue Type A,10.0082937
50,Glue Type C,6.914831204
40,Glue Type A,10.06571931
40,Glue Type A,9.376109102
50,Glue Type C,7.396347237
60,Glue Type A,7.050573779
60,Glue Type A,6.741976891
40,Glue Type C,8.603787364
75,Glue Type C,6.822335168
75,Glue Type A,7.314841552
60,Glue Type A,7.15331547
75,Glue Type A,6.68146994
75,Glue Type A,7.230227452
75,Glue Type A,7.27267668
50,Glue Type A,7.914338992
60,Glue Type C,6.44881821
75,Glue Type A,7.087763237
50,Glue Type C,7.00095615
75,Glue Type A,7.189316401
50,Glue Type C,6.947665658
60,Glue Type C,7.146576016
60,Glue Type C,6.389229174
75,Glue Type C,7.551308075
40,Glue Type C,9.846996798
50,Glue Type A,7.59532679
60,Glue Type A,7.278275596
60,Glue Type C,6.586402008
75,Glue Type A,7.312502454
50,Glue Type C,8.138352284
75,Glue Type C,7.996996889
75,Glue Type C,6.018946129
40,Glue Type C,8.709519589
50,Glue Type A,7.690882203
50,Glue Type A,7.613932226
75,Glue Type A,6.972295142
60,Glue Type C,7.405919304
50,Glue Type C,7.635489386
40,Glue Type C,8.725692758
75,Glue Type C,7.964500705
50,Glue Type C,7.600172486
50,Glue Type A,7.776637986
75,Glue Type A,6.862442395
40,Glue Type A,9.624504718
50,Glue Type C,7.800509744
40,Glue Type C,7.888928432
75,Glue Type C,4.639506858
75,Glue Type C,6.248612146
50,Glue Type C,7.290944723
50,Glue Type C,7.428850798
75,Glue Type C,7.075385995
40,Glue Type A,9.928999727
75,Glue Type C,6.010902234
40,Glue Type A,10.44011659
50,Glue Type A,8.219907802
50,Glue Type C,7.379326556
50,Glue Type A,8.52487475
40,Glue Type A,9.77722193
60,Glue Type A,7.746859441
60,Glue Type A,6.859000959
50,Glue Type C,7.144076721
75,Glue Type A,7.599673684
75,Glue Type A,7.250845762
40,Glue Type C,9.170895975
50,Glue Type C,7.488128474
50,Glue Type C,7.632045106
75,Glue Type C,6.630470983
60,Glue Type C,6.525692979
50,Glue Type C,7.63279907
75,Glue Type C,5.879481771
40,Glue Type C,9.097957838
75,Glue Type A,7.45286234
60,Glue Type A,7.297988262
40,Glue Type C,9.449698943
75,Glue Type C,6.975783903
75,Glue Type A,7.009022001
40,Glue Type A,9.439212157
50,Glue Type A,7.984088576
60,Glue Type C,6.632558798
50,Glue Type C,6.605027263
75,Glue Type C,6.80259424
75,Glue Type A,7.378362601
75,Glue Type A,7.084951865
60,Glue Type C,7.165973735
50,Glue Type A,7.609014715
50,Glue Type C,7.382709144
40,Glue Type A,8.691421661
40,Glue Type A,9.405266347
50,Glue Type C,7.208681536
40,Glue Type C,8.03586422
50,Glue Type C,7.764796063
75,Glue Type A,7.561814577
60,Glue Type A,6.459781135
75,Glue Type A,7.257900442
60,Glue Type C,6.059803754
60,Glue Type C,6.779095841
60,Glue Type A,6.973209154
75,Glue Type A,6.86743379
40,Glue Type A,9.684170541
75,Glue Type C,5.092881143
60,Glue Type A,7.516378824
60,Glue Type A,6.859525019
60,Glue Type A,7.638735024
75,Glue Type A,7.286522071
60,Glue Type A,6.846699292
75,Glue Type A,7.94652954
75,Glue Type C,8.081784728
50,Glue Type C,7.839546815
60,Glue Type C,8.123017066
50,Glue Type A,7.539381043
60,Glue Type A,7.161788894
50,Glue Type C,7.157259813
60,Glue Type C,6.761351367
60,Glue Type C,6.388905031
75,Glue Type A,7.343942457
50,Glue Type A,7.849879474
50,Glue Type A,8.554698054
60,Glue Type C,6.75168214
75,Glue Type C,6.200781647
50,Glue Type A,7.988754418
40,Glue Type C,9.77935378
40,Glue Type A,9.540328395
75,Glue Type C,6.266377521
40,Glue Type A,9.272229489
40,Glue Type C,8.645862595
50,Glue Type A,7.993406042
40,Glue Type A,9.8364927
50,Glue Type A,7.868648347
60,Glue Type C,6.268530115
50,Glue Type A,8.059923935
60,Glue Type A,6.977243603
60,Glue Type A,7.133934508
40,Glue Type C,8.325382453
40,Glue Type C,9.628870016
60,Glue Type A,7.526356532
50,Glue Type A,8.045003615
60,Glue Type C,5.803359766
40,Glue Type A,9.397146487
75,Glue Type C,6.545098757
75,Glue Type C,7.023796044
75,Glue Type A,7.074315641
50,Glue Type A,7.6931467
60,Glue Type A,7.307938023
75,Glue Type A,7.362275394
60,Glue Type A,7.080725642
40,Glue Type A,9.429285431
60,Glue Type A,7.301911073
40,Glue Type C,8.932044078
50,Glue Type C,7.028920141
40,Glue Type A,9.593666874
60,Glue Type C,6.304829086
40,Glue Type C,8.493032826
60,Glue Type A,7.350008265
60,Glue Type A,7.171579669
50,Glue Type A,8.519849405
40,Glue Type C,9.250636849
50,Glue Type A,8.133728095
40,Glue Type C,8.875790842
50,Glue Type A,8.539044737
50,Glue Type C,7.216475105
50,Glue Type A,8.242241442
75,Glue Type C,6.127981086
50,Glue Type C,7.504193515
75,Glue Type A,7.652360779
60,Glue Type C,6.981159411
40,Glue Type A,9.441543782
60,Glue Type A,7.161738289
60,Glue Type C,6.708513477
60,Glue Type C,7.526764458
75,Glue Type A,7.358475172
50,Glue Type C,6.900881101
75,Glue Type A,7.280520079
50,Glue Type C,7.039305798
50,Glue Type A,7.752788356
75,Glue Type C,6.348024178
60,Glue Type C,6.53791299
50,Glue Type A,8.14618119
50,Glue Type C,7.189027222
60,Glue Type C,7.37139135
50,Glue Type A,7.369895938
60,Glue Type A,6.608428729
40,Glue Type C,8.781249801
50,Glue Type A,7.75791688
60,Glue Type C,7.067899975
40,Glue Type A,9.85286854
60,Glue Type C,6.662106471
40,Glue Type C,8.225217976
75,Glue Type C,4.394167063
50,Glue Type A,8.075133789
75,Glue Type C,5.670318367
50,Glue Type A,8.285994854
60,Glue Type C,6.988566211
60,Glue Type A,6.981698014
40,Glue Type C,9.515357358
40,Glue Type A,9.676270282
40,Glue Type C,8.842603506
50,Glue Type A,7.579572613
60,Glue Type C,5.516635649
40,Glue Type A,9.989773462
60,Glue Type A,7.543154145
50,Glue Type C,7.253579688
50,Glue Type A,7.935547469
50,Glue Type C,7.384020952
40,Glue Type C,9.149439412
50,Glue Type A,7.616921847
60,Glue Type C,6.357305544
60,Glue Type A,7.428394007
40,Glue Type C,9.193115068
75,Glue Type C,7.812268594
75,Glue Type C,7.610245874
50,Glue Type A,7.859640721
75,Glue Type A,7.14606671
75,Glue Type A,6.962144433
50,Glue Type C,7.449460728
50,Glue Type C,7.484404823
75,Glue Type A,7.312700578
60,Glue Type A,7.32992189
75,Glue Type A,6.922776319
40,Glue Type C,8.245770852
40,Glue Type C,8.43985177
75,Glue Type C,7.009787548
60,Glue Type A,7.357218161
60,Glue Type C,6.30707701
40,Glue Type C,8.693279301
75,Glue Type A,7.061778335
60,Glue Type A,7.325373097
40,Glue Type A,9.794575992
50,Glue Type C,7.022962068
75,Glue Type C,6.692694982
50,Glue Type A,8.133301298
75,Glue Type A,7.416313625
60,Glue Type C,6.009266368
50,Glue Type A,8.168051739
75,Glue Type C,5.640611125
40,Glue Type A,9.095440227
75,Glue Type C,6.378215832
40,Glue Type C,9.131887756
50,Glue Type C,7.382258261
60,Glue Type A,7.820134112
40,Glue Type A,9.398566133
50,Glue Type C,7.101267008
40,Glue Type C,9.469087865
60,Glue Type A,6.67693889
40,Glue Type C,8.797309709
40,Glue Type C,9.250739606
75,Glue Type C,6.289442507
75,Glue Type C,5.579967946
60,Glue Type C,6.267622968
60,Glue Type A,6.677610638
50,Glue Type C,7.272762792
75,Glue Type A,6.778043853
60,Glue Type C,6.869665958
60,Glue Type A,7.455633017
60,Glue Type A,7.293687289
60,Glue Type C,6.804805639
40,Glue Type A,10.08729423
50,Glue Type A,8.590447
50,Glue Type A,7.394875303
75,Glue Type C,8.290141159
50,Glue Type A,8.478812539
60,Glue Type C,6.878622084
60,Glue Type C,6.024000829
40,Glue Type A,8.958255095
60,Glue Type C,6.552408429
60,Glue Type C,7.502193883
75,Glue Type C,7.734176399
75,Glue Type A,6.777530925
75,Glue Type C,6.128180916
40,Glue Type C,8.634576148
75,Glue Type A,7.158546543
75,Glue Type C,8.319451857
60,Glue Type A,7.460480774
60,Glue Type A,7.066103927
40,Glue Type C,8.293991027
40,Glue Type A,9.799388601
60,Glue Type A,7.372699385
50,Glue Type A,7.939516756
50,Glue Type A,8.031558153
60,Glue Type C,6.613751562
75,Glue Type C,6.299804325
50,Glue Type A,7.565568364
50,Glue Type A,7.646204525
40,Glue Type A,8.94072668
50,Glue Type C,7.659773146
40,Glue Type C,9.130711913
75,Glue Type C,6.31635295
50,Glue Type A,8.235555599
75,Glue Type C,5.332538232
40,Glue Type A,9.963168147
60,Glue Type A,7.820143555
40,Glue Type A,9.859137133
60,Glue Type C,5.7200923
50,Glue Type C,7.274746029
60,Glue Type C,4.764255088
75,Glue Type C,7.498792275
75,Glue Type A,7.522120113
75,Glue Type A,7.290430807
60,Glue Type C,6.94211546
40,Glue Type A,9.428115183
75,Glue Type A,7.288856401
60,Glue Type A,6.827223326
60,Glue Type C,6.616158046
50,Glue Type C,7.132725885
50,Glue Type A,8.229939896
60,Glue Type C,6.576507294
40,Glue Type C,9.317685022
40,Glue Type A,8.706147912
40,Glue Type A,9.823452675
50,Glue Type A,8.304969768
75,Glue Type C,8.448609338
50,Glue Type A,7.854419735
50,Glue Type A,7.76082308
40,Glue Type A,10.17150888
40,Glue Type A,10.18549804
60,Glue Type A,6.575087931
60,Glue Type C,6.844149173
60,Glue Type A,7.467349154
60,Glue Type C,7.024523665
50,Glue Type C,7.324348192
60,Glue Type C,6.632726657
60,Glue Type C,6.400739125
40,Glue Type A,9.722801984
40,Glue Type A,9.611557042
40,Glue Type A,9.317001625
50,Glue Type C,7.821138501
60,Glue Type C,6.407936607
75,Glue Type C,7.781118585
75,Glue Type C,7.945854915
60,Glue Type C,6.130257087
50,Glue Type C,7.35197537
60,Glue Type C,6.469960172
60,Glue Type A,7.090610208
75,Glue Type A,7.069981737
60,Glue Type C,6.535930513
40,Glue Type A,9.428007261
40,Glue Type C,9.239825335
60,Glue Type C,6.606399387
40,Glue Type C,8.922433297
50,Glue Type A,8.127706787
60,Glue Type A,7.368792856
60,Glue Type C,6.451954832
40,Glue Type C,9.083683882
75,Glue Type A,7.42435656
40,Glue Type A,9.369540565
40,Glue Type A,9.638902925
60,Glue Type A,7.05859097
50,Glue Type A,7.969780807
60,Glue Type A,6.892064662
75,Glue Type A,7.339096231
40,Glue Type C,8.543684827
60,Glue Type A,7.247343947
40,Glue Type C,9.856034717
60,Glue Type C,6.750462353
60,Glue Type C,6.841884763
60,Glue Type A,7.313463049
40,Glue Type A,9.584882062
75,Glue Type A,7.035283358
40,Glue Type C,8.620977427
75,Glue Type A,7.273346807
50,Glue Type A,7.847067999
75,Glue Type A,6.933751426
75,Glue Type A,7.224375221
60,Glue Type A,7.448016774
40,Glue Type C,8.805943456
75,Glue Type A,6.958513468
40,Glue Type A,8.644880798
50,Glue Type A,8.110077041
60,Glue Type C,6.617972347
40,Glue Type A,9.831701471
40,Glue Type A,9.284587981
40,Glue Type C,8.762149261
50,Glue Type C,6.897236539
40,Glue Type A,9.060347735
50,Glue Type A,8.233091974
75,Glue Type A,6.802491142
40,Glue Type C,8.411330975
40,Glue Type A,8.869676297
60,Glue Type C,6.10387571
60,Glue Type C,5.966060326
60,Glue Type C,7.427453584
75,Glue Type C,7.386585958
60,Glue Type C,6.810987428
60,Glue Type A,6.869463679
40,Glue Type C,10.17136132
75,Glue Type A,7.28866317
60,Glue Type C,6.256240065
75,Glue Type C,5.587565502
40,Glue Type A,9.604705422
60,Glue Type A,6.739569763
40,Glue Type C,8.644405874
40,Glue Type C,7.823702756
75,Glue Type A,7.088403417
75,Glue Type C,6.283280987
75,Glue Type C,5.706177503
75,Glue Type C,6.202254683
50,Glue Type C,7.053454242
40,Glue Type A,9.687621398
50,Glue Type C,7.077316488
40,Glue Type A,9.245749752
40,Glue Type C,9.391674994
75,Glue Type C,6.403255353
50,Glue Type C,7.331694458
40,Glue Type A,9.805151365
60,Glue Type C,6.238230924
40,Glue Type A,9.547229828
50,Glue Type A,7.977709544
60,Glue Type A,6.845329258
40,Glue Type A,9.065354647
75,Glue Type A,7.36783498
40,Glue Type A,8.814384172
50,Glue Type C,7.439349294
75,Glue Type C,5.018564824
60,Glue Type C,6.598929827
50,Glue Type C,7.176257295
50,Glue Type A,8.249456945
60,Glue Type C,6.880044654
60,Glue Type C,5.9775244
60,Glue Type A,6.712762443
40,Glue Type C,7.589687308
60,Glue Type A,7.210228453
75,Glue Type A,7.119637611
60,Glue Type C,5.906463104
50,Glue Type C,7.181648304
75,Glue Type C,6.539768547
40,Glue Type C,9.478921858
40,Glue Type C,8.585089618
75,Glue Type A,7.431330575
40,Glue Type C,7.957990262
60,Glue Type A,6.568210879
75,Glue Type C,5.10276426
40,Glue Type C,8.195294108
40,Glue Type A,9.45043117
40,Glue Type C,8.564086793
50,Glue Type C,7.217445677
60,Glue Type A,7.382155703
60,Glue Type C,7.111776002
75,Glue Type C,6.808890075
75,Glue Type C,5.192672956
60,Glue Type C,7.290050715
60,Glue Type A,7.205317741
40,Glue Type A,9.785326715
50,Glue Type A,7.967248359
50,Glue Type A,8.369869019
60,Glue Type C,6.906072322
50,Glue Type C,6.800332446
50,Glue Type C,7.798377313
50,Glue Type C,7.511029433
40,Glue Type C,9.51964576
40,Glue Type C,9.160549611
75,Glue Type A,7.251349311
60,Glue Type A,6.931315179
40,Glue Type A,9.680861119
50,Glue Type C,7.934347499
40,Glue Type C,8.54123934
50,Glue Type C,7.424939618
40,Glue Type C,9.045840922
50,Glue Type C,7.395440822
75,Glue Type C,5.978877801
75,Glue Type C,7.758336785
40,Glue Type A,9.573327919
60,Glue Type A,6.801815581
75,Glue Type A,7.041848379
40,Glue Type A,10.25040958
75,Glue Type A,7.146658356
50,Glue Type C,7.240451208
75,Glue Type A,7.387799511
75,Glue Type C,6.081696639
60,Glue Type C,6.326534435
60,Glue Type A,7.245714666
60,Glue Type A,6.888096963
75,Glue Type C,7.490992402
75,Glue Type C,5.968935491
40,Glue Type C,8.847660402
40,Glue Type C,9.028512608
40,Glue Type C,9.341230436
50,Glue Type C,7.464011513
50,Glue Type A,8.160130789
50,Glue Type C,7.641381353
50,Glue Type A,7.692977628
60,Glue Type C,5.889274961
75,Glue Type C,6.555992163
50,Glue Type C,7.697133604
50,Glue Type A,7.855412697
40,Glue Type C,9.233752923
60,Glue Type A,6.612461925
50,Glue Type C,7.474038189
50,Glue Type A,7.642777065
60,Glue Type A,7.25702994
60,Glue Type A,6.834608389
50,Glue Type C,7.804424744
60,Glue Type A,7.803068015
75,Glue Type C,4.765021032
75,Glue Type A,7.113646402
50,Glue Type A,7.755561841
40,Glue Type C,8.212163432
40,Glue Type C,9.759301588
50,Glue Type C,7.702283086
75,Glue Type A,7.480597192
75,Glue Type A,6.800965519
40,Glue Type C,9.676998781
60,Glue Type C,6.670301376
50,Glue Type A,7.877088814
75,Glue Type A,7.239737813
40,Glue Type A,8.666234024
40,Glue Type C,9.481389778
50,Glue Type A,7.45639244
50,Glue Type C,7.245632187
75,Glue Type A,7.054060974
40,Glue Type A,9.28754226
50,Glue Type C,6.753994095
75,Glue Type C,6.671363364
75,Glue Type A,6.553447955
75,Glue Type C,5.250685811
40,Glue Type C,8.6691153
50,Glue Type C,7.114643366
40,Glue Type C,9.656493179
40,Glue Type C,9.900227878
75,Glue Type C,4.986466604
40,Glue Type A,9.05497677
50,Glue Type A,8.382654891
75,Glue Type A,7.227422679
75,Glue Type A,7.342131704
50,Glue Type A,8.088252019
75,Glue Type A,7.346708244
75,Glue Type A,7.238802944
75,Glue Type C,6.811297432
75,Glue Type A,7.467407045
50,Glue Type C,7.177075301
60,Glue Type A,7.056650713
40,Glue Type A,9.022420917
50,Glue Type C,7.89154836
40,Glue Type A,9.26068593
40,Glue Type A,9.217823544
50,Glue Type C,7.422769911
40,Glue Type C,8.569274134
50,Glue Type A,8.574257698
40,Glue Type C,8.875267374
60,Glue Type A,6.946421671
60,Glue Type C,6.985046871
60,Glue Type C,6.449017152
75,Glue Type C,6.553137566
50,Glue Type C,7.309389643
75,Glue Type C,6.123217065
50,Glue Type C,6.904320598
75,Glue Type A,7.046127974
40,Glue Type A,9.518310188
40,Glue Type A,9.195022482
40,Glue Type A,9.764524575
50,Glue Type A,8.567537296
75,Glue Type C,3.545554205
50,Glue Type C,7.590708278
40,Glue Type A,9.50777749
60,Glue Type A,6.62865939
50,Glue Type C,7.874875205
50,Glue Type A,8.313243618
60,Glue Type C,6.572928153
60,Glue Type A,7.706140873
40,Glue Type A,9.532212477
40,Glue Type A,9.341589589
40,Glue Type A,9.669760432
40,Glue Type C,7.97926885
75,Glue Type A,7.137614674
75,Glue Type A,7.054407414
40,Glue Type A,9.75401177
40,Glue Type C,9.10361014
60,Glue Type C,6.034884487
75,Glue Type A,6.918828913
60,Glue Type A,6.608336345
75,Glue Type A,7.175171626
40,Glue Type A,9.882592163
75,Glue Type A,7.261664212
75,Glue Type C,5.810272729
40,Glue Type A,9.262075458
40,Glue Type A,9.277801002
50,Glue Type C,7.29402456
50,Glue Type C,7.865404286
75,Glue Type A,6.610404648
75,Glue Type C,4.89517027
75,Glue Type A,7.337359107
75,Glue Type C,8.332871747
60,Glue Type C,6.908851392
50,Glue Type A,8.048579212
75,Glue Type C,6.501195069
50,Glue Type A,7.745766125
50,Glue Type A,8.420059096
75,Glue Type A,7.269252086
75,Glue Type C,7.294795851
40,Glue Type A,9.799285197
60,Glue Type A,7.144430186
40,Glue Type A,8.571034366
60,Glue Type A,7.186290268
50,Glue Type A,8.280340529
50,Glue Type A,7.992690103
50,Glue Type A,8.309257667
60,Glue Type A,6.97351446
60,Glue Type A,7.038452895
40,Glue Type C,8.745593179
75,Glue Type C,6.722110924
50,Glue Type C,7.635081602
50,Glue Type A,8.222342823
75,Glue Type C,7.970678464
40,Glue Type C,9.221505891
40,Glue Type C,8.929758184
75,Glue Type A,7.222697896
50,Glue Type A,7.930807925
50,Glue Type A,7.650330177
50,Glue Type C,8.376674944
40,Glue Type A,9.126016761
60,Glue Type A,7.245978568
40,Glue Type C,8.232045529
75,Glue Type C,5.740843757
40,Glue Type A,9.521675916
75,Glue Type A,7.650018686
50,Glue Type C,6.740674983
50,Glue Type C,7.630750149
60,Glue Type C,5.281668963
40,Glue Type C,9.151819452
60,Glue Type A,7.115870341
50,Glue Type C,7.782281153
75,Glue Type A,7.361552295
50,Glue Type A,8.231694505
75,Glue Type A,7.404526795
50,Glue Type C,7.691202898
50,Glue Type C,7.525019979
40,Glue Type A,10.01544986
50,Glue Type C,6.820769705
60,Glue Type C,6.892069604
75,Glue Type C,9.199520838
50,Glue Type A,8.186486339
50,Glue Type C,7.79058847
40,Glue Type A,10.173269
75,Glue Type C,5.46594368
75,Glue Type C,5.969334893
75,Glue Type A,7.27033856
75,Glue Type A,6.83684972
60,Glue Type C,6.209489837
60,Glue Type A,7.62807787
40,Glue Type C,9.819121954
60,Glue Type C,6.401795374
40,Glue Type C,8.380349069
40,Glue Type C,9.261917373
75,Glue Type A,7.060647282
75,Glue Type C,6.904072623
60,Glue Type C,5.829502026
60,Glue Type C,6.751431815
50,Glue Type A,7.484742064
